"Category","Variable","Value_Type","Year_2004","Year_2011","Year_2017_2018","Year_2022","Absolute_Change_2004_2022","Percent_Change_2004_2022"
"outcome","child_died","Percentage","6.81","4.04","3.21","4.65","-2.16","-31.7%"
"treatments","anc_4plus","Percentage","18.87","28.34","48.33","40.90","22.03","116.8%"
"treatments","c_section_yes","Percentage","5.30","17.87","33.02","44.69","39.39","742.5%"
"mediators","institutional_delivery","Percentage","12.93","29.74","48.30","63.14","50.20","388.2%"
"mediators","skilled_birth_attendant","Percentage","19.81","36.38","54.13","71.40","51.59","260.5%"
"socioeconomic","mother_education","Mean Score","1.066","1.455","1.772","1.848","0.78","73.4%"
"socioeconomic","residence_urban","Percentage","29.69","31.34","34.20","32.83","3.14","10.6%"
"socioeconomic","wealth","Mean Score","2.950","2.983","2.962","2.953","0.00","0.1%"
"maternal_bio","BMI","Mean Score","1.066","1.167","1.625","1.566","0.50","46.9%"
"maternal_bio","birth_spacingaftermarriage","Mean Score","2.555","2.389","2.330","2.487","-0.07","-2.7%"
"maternal_bio","mother_ageBirth","Mean Score","2.364","2.337","2.406","2.541","0.18","7.5%"
