"country","year","N","csec_pct","mort_u24"
"Bangladesh",2004,4099,4.50019234871086,6.46557621429832
"Bangladesh",2007,3642,8.93916882343741,4.51228678687708
"Bangladesh",2011,4969,17.0834515566976,3.65967766955348
"Bangladesh",2014,4493,24.256615846682,2.65334744711077
"Bangladesh",2017.5,5220,32.9218281100527,3.39551996128355
"Bangladesh",2022,5246,44.109477416272,2.62546553964748
"India",1999,14408,16.7179902890186,4.65498939478083
"India",2006,30379,9.00451149290697,5.6570597539322
"India",2016,153465,18.4982439437803,4.18668033581887
"India",2020,135626,22.9461897872631,3.55066709728047
"Pakistan",2007,5449,8.73999574795052,8.73100223629179
"Pakistan",2013,6833,15.9227729168976,7.08936983245139
"Pakistan",2018,7472,24.413302832556,6.27258737007833
