"country","year","sector","N_births","csec_pct","sector_share_pct"
"Bangladesh",2004,"Private",182,54.4668445001125,3.87903809675179
"Bangladesh",2004,"Public",344,30.8692326961236,7.15478127865994
"Bangladesh",2007,"Private",337,69.8577896809572,7.93245303960542
"Bangladesh",2007,"Public",324,35.4897288969036,7.86848699429554
"Bangladesh",2011,"Private",801,75.9508611873734,15.1056718390915
"Bangladesh",2011,"Public",636,42.7139070269937,11.8368749703556
"Bangladesh",2014,"Private",1039,80.3703364493543,22.3920134474746
"Bangladesh",2014,"Public",616,38.7208193032652,12.8358365056821
"Bangladesh",2017.5,"Private",1614,83.1279422562303,31.5723789070628
"Bangladesh",2017.5,"Public",795,35.4375893627521,14.400970394755
"Bangladesh",2022,"Private",2342,83.8574259392168,44.8056476631326
"Bangladesh",2022,"Public",896,35.183181995788,16.9265965589278
"India",1999,"Private",5169,24.7841749473166,17.4422975782353
"India",1999,"Public",6222,15.8726733985204,16.3174539978595
"India",2006,"Private",6596,28.3058869856874,21.3495697763358
"India",2006,"Public",7440,15.0930042831114,19.0063760215222
"India",2016,"Private",33074,42.5455071536186,27.3080555282632
"India",2016,"Public",86304,12.774165674066,53.9373052179625
"India",2020,"Private",30312,49.2235247840047,27.4167148152743
"India",2020,"Public",88742,15.0926123664187,62.6181614273393
"Pakistan",2007,"Private",1391,23.3255367479665,26.3924365051752
"Pakistan",2007,"Public",639,23.5906686155219,11.2201469486138
"Pakistan",2013,"Private",2292,30.9550717201724,36.9916717528861
"Pakistan",2013,"Public",1365,28.7148715633608,15.6691617984361
"Pakistan",2018,"Private",2843,40.4656555845437,45.1570834730846
"Pakistan",2018,"Public",2241,24.9684359615297,24.6648540052739
