"country","regime","wealth_q","csec_pct","n"
"Bangladesh","Demand-driven",1,11.3134479838914,4251
"Bangladesh","Demand-driven",2,20.6855552399247,3943
"Bangladesh","Demand-driven",3,28.0239651700125,3789
"Bangladesh","Demand-driven",4,36.6536528364737,4000
"Bangladesh","Demand-driven",5,56.6078898652705,3945
"Bangladesh","Supply-constrained",1,1.28087799013529,1621
"Bangladesh","Supply-constrained",2,1.14756352523344,1520
"Bangladesh","Supply-constrained",3,3.06126508422603,1469
"Bangladesh","Supply-constrained",4,6.75595968620973,1405
"Bangladesh","Supply-constrained",5,23.8559407794397,1726
"India","Demand-driven",1,6.43416708387698,76099
"India","Demand-driven",2,13.147946930853,67836
"India","Demand-driven",3,22.9360765535489,57321
"India","Demand-driven",4,30.3482462646847,48714
"India","Demand-driven",5,39.3595766886977,39121
"India","Supply-constrained",1,1.75016703655028,5323
"India","Supply-constrained",2,3.33379915350487,5638
"India","Supply-constrained",3,7.34775492635033,6234
"India","Supply-constrained",4,13.8006516660106,6741
"India","Supply-constrained",5,26.6143909798488,6443
"Pakistan","Demand-driven",1,7.4210440695124,3208
"Pakistan","Demand-driven",2,10.3752324912709,3060
"Pakistan","Demand-driven",3,17.0019594220997,2828
"Pakistan","Demand-driven",4,28.7344832529263,2572
"Pakistan","Demand-driven",5,41.1551029091743,2637
"Pakistan","Supply-constrained",1,1.8207851012788,1244
"Pakistan","Supply-constrained",2,2.29100538610685,1174
"Pakistan","Supply-constrained",3,6.61092780766398,1074
"Pakistan","Supply-constrained",4,12.9773105364444,996
"Pakistan","Supply-constrained",5,23.4777349129594,961
