"country","year","N_births","csec_pct","mort_u24_pct","urban_pct","wealth_mean","private_pct","excess_rate","regime"
"Bangladesh",2004,4099,4.5,6.47,19.7,2.81,3.8,-5.5,"Supply-constrained"
"Bangladesh",2007,3642,8.9,4.51,21.2,2.92,7.9,-1.1,"Supply-constrained"
"Bangladesh",2011,4969,17.1,3.66,22.6,2.89,15.1,7.1,"Demand-driven"
"Bangladesh",2014,4493,24.3,2.65,26.1,2.98,23,14.3,"Demand-driven"
"Bangladesh",2017.5,5220,32.9,3.4,26.6,2.96,31.6,22.9,"Demand-driven"
"Bangladesh",2022,5246,44.1,2.63,26.7,2.93,44.8,34.1,"Demand-driven"
"India",2006,30379,9,5.66,25.2,2.74,21.3,-1,"Supply-constrained"
"India",2016,153465,18.5,4.19,27.6,2.76,27.3,8.5,"Demand-driven"
"India",2020,135626,22.9,3.55,26.2,2.8,27.4,12.9,"Demand-driven"
"Pakistan",2007,5449,8.7,8.73,30.3,2.86,26.4,-1.3,"Supply-constrained"
"Pakistan",2013,6833,15.9,7.09,29.1,2.84,36.9,5.9,"Demand-driven"
"Pakistan",2018,7472,24.4,6.27,32.2,2.92,45.1,14.4,"Demand-driven"
