year,cause,combined_CSF,combined_lower_csf,combined_upper_csf,combined_CSMR,bootstrap_lower_csmr,bootstrap_upper_csmr
2004,Birth Asphyxia,0.111721052,0.084774859,0.138667245,12.32655603,10.3900578,14.3002946
2004,Birth Injury,0.020697707,0.00778867,0.033606743,2.283646952,1.924886706,2.649306434
2004,Congenital Abnormality,0.030041826,0.014500845,0.045582806,3.314614777,2.793889797,3.845353699
2004,Diarrhoea,0.052234595,0.033227149,0.07124204,5.763216929,4.857817291,6.686028099
2004,Drowning,0.039421365,0.022435405,0.056407325,4.349490644,3.666186978,5.045934766
2004,Malnutrition,0.010247502,0.002475725,0.018019279,1.13064106,0.953017691,1.311680263
2004,Measles,0.01029804,0.002595163,0.018000917,1.136217046,0.957717691,1.318149081
2004,Meningitis,0,0,0,0,0,0
2004,Neonatal Jaundice,0,0,0,0,0,0
2004,Neonatal Tetanus,0.023874407,0.010116599,0.037632215,2.634142901,2.220319847,3.055924091
2004,Other Causes,0.012623489,0.003172393,0.022074586,1.392791645,1.173984498,1.615806621
2004,Pneumonia,0.229729968,0.193144351,0.266315586,25.34687316,21.36488705,29.40543594
2004,Possible Serious Infections,0.309518554,0.266978494,0.352058613,34.15021374,28.78522548,39.61837486
2004,Pre Term Birth,0.065892764,0.045608995,0.086176533,7.270168316,6.12802707,8.434273816
2004,Undetermined,0.022408225,0.009437397,0.035379053,2.472374172,2.083964937,2.868252816
2004,Unspecified,0.061290507,0.039697783,0.082883231,6.762385959,5.700017168,7.845184919
2011,Birth Asphyxia,0.107064047,0.077216479,0.136911615,8.493747751,7.280355216,9.635764256
2011,Birth Injury,0.027712021,0.009062024,0.046362018,2.198487035,1.884417459,2.494081931
2011,Congenital Abnormality,0.007061787,-0.000254242,0.014377816,0.560235105,0.480201519,0.635560834
2011,Diarrhoea,0.01835802,0.004551938,0.032164101,1.456402891,1.248345335,1.652221767
2011,Drowning,0.053205497,0.030719194,0.0756918,4.220969403,3.617973774,4.788494701
2011,Malnutrition,0.004061027,-0.001934039,0.010056093,0.322174826,0.276149851,0.365492449
2011,Measles,0.010465979,-0.000341958,0.021273916,0.830301029,0.711686596,0.941938142
2011,Meningitis,0.017347228,0.003447736,0.03124672,1.37621342,1.179611503,1.561250518
2011,Neonatal Jaundice,0.018554985,0.005117317,0.031992652,1.472028782,1.261738956,1.669948618
2011,Neonatal Tetanus,0.0185053,0.003788551,0.03322205,1.468087171,1.258360432,1.665477042
2011,Other Causes,0.027033722,0.00961284,0.044454604,2.144675288,1.838293104,2.342922584
2011,Pneumonia,0.258811652,0.215594471,0.302028832,20.53239105,17.59919233,23.29304867
2011,Possible Serious Infections,0.136716413,0.100621988,0.172810838,10.84616878,9.296716097,12.30447719
2011,Pre Term Birth,0.059080118,0.036056484,0.082103752,4.687022707,4.017448035,5.317210634
2011,Undetermined,0.063392136,0.039942215,0.086842058,5.029109473,4.310665263,5.705292259
2011,Unspecified,0.172630067,0.132543685,0.212716449,13.69531863,11.73884454,15.536706
2018,Birth Asphyxia,0.161739594,0.12391502,0.199564169,9.704375651,8.086979709,11.32177159
2018,Birth Injury,0.044573669,0.023012652,0.066134685,2.674420116,2.22868343,3.120156803
2018,Congenital Abnormality,0.063462226,0.038022948,0.088901503,3.807733543,3.173111286,4.4423558
2018,Diarrhoea,0.031709483,0.013131695,0.050287272,1.902569008,1.585474173,2.219663842
2018,Drowning,0.087175397,0.056640744,0.11771005,5.230523825,4.358769854,6.102277796
2018,Malnutrition,0.011517431,0.001415783,0.021619078,0.691045841,0.575871534,0.806220148
2018,Measles,0,0,0,0,0,0
2018,Meningitis,0,0,0,0,0,0
2018,Neonatal Jaundice,0.019720779,0.00458154,0.034860019,1.183246749,0.986038958,1.380454541
2018,Neonatal Tetanus,0.010372986,7.72E-06,0.02073825,0.62237919,0.518649325,0.725230633
2018,Other Causes,0.072925159,0.048478891,0.097371427,4.375509561,3.646257967,5.104761154
2018,Pneumonia,0.181482149,0.142677169,0.22028713,10.88892896,9.074107463,12.70375045
2018,Possible Serious Infections,0.085104067,0.057439146,0.112768987,5.106244003,4.255203336,5.95728467
2018,Pre Term Birth,0.131675053,0.095498232,0.167851875,7.900503202,6.583752668,9.217253735
2018,Undetermined,0.018867787,0.003895926,0.033839649,1.132067232,0.94338936,1.320745104
2018,Unspecified,0.079674219,0.05228119,0.107067247,4.780453125,3.983710937,5.577195312
