"Year","Stage","Variable","Coefficient","SE","Z_value","P_value"
"2004","Stage1_Csection","(Intercept)",-2.91908580728052,0.346450084974043,-8.4257038282996,3.58588163313088e-17
"2004","Stage1_Csection","IV_c_section_yes",1.98752655118549,0.26522086848988,7.4938543203712,6.68799536536028e-14
"2004","Stage1_Csection","birth_single",-0.748617951941815,0.302972054591805,-2.4709142001576,0.013476814876459
"2004","Stage1_Csection","contraceptive_type",0.0799862857592989,0.0431905774490235,1.85193832737486,0.0640346794284964
"2004","Stage1_Csection","mother_education",0.375770147494931,0.0603255862355597,6.22903432761717,4.69318958586227e-10
"2004","Stage1_Csection","partner_edu",0.276472606611111,0.0529409742257069,5.22228029715522,1.7673318133369e-07
"2004","Stage1_Csection","media_exposure",0.187871457006192,0.0502559262334838,3.73829458705746,0.00018527277997414
"2004","Stage1_Csection","mother_working",-0.00189343089490975,0.123211236969733,-0.0153673556201281,0.987739106792036
"2004","Stage1_Csection","pregnancy_terminated",0.284362267720013,0.0950668457179745,2.99118231568977,0.00277899523578554
"2011","Stage1_Csection","(Intercept)",-2.23835312301734,0.238303372840926,-9.39287218780365,5.83859699364436e-21
"2011","Stage1_Csection","IV_c_section_yes",1.10359468930159,0.111262768382815,9.91881386147531,3.44829552714444e-23
"2011","Stage1_Csection","birth_single",-0.4904587891291,0.220172851115967,-2.2276079300566,0.0259066713953134
"2011","Stage1_Csection","contraceptive_type",0.0108096653656937,0.023872384157727,0.45281046477274,0.650685227510224
"2011","Stage1_Csection","mother_education",0.350700906244738,0.0377135268601381,9.2990747734977,1.41673104256402e-20
"2011","Stage1_Csection","partner_edu",0.31880259581605,0.0300907168079192,10.5947159002922,3.15296901232044e-26
"2011","Stage1_Csection","media_exposure",0.0593397942374335,0.0343211779257752,1.72895564265786,0.083817034217217
"2011","Stage1_Csection","mother_working",0.00814926011525961,0.0848172381280307,0.0960802343381942,0.923456849384597
"2011","Stage1_Csection","pregnancy_terminated",0.195391787626446,0.0617347969641048,3.16501871286715,0.00155072977454825
"2017-2018","Stage1_Csection","(Intercept)",-1.59388830691897,0.214774220333355,-7.42122729834644,1.16039973418243e-13
"2017-2018","Stage1_Csection","IV_c_section_yes",1.07237484664161,0.0813579609829869,13.1809454623114,1.12966160232427e-39
"2017-2018","Stage1_Csection","birth_single",-0.590011764216482,0.196603649737116,-3.00102142053518,0.00269075635996094
"2017-2018","Stage1_Csection","contraceptive_type",0.0382066275910442,0.0208354934147058,1.83372799628915,0.0666943806592583
"2017-2018","Stage1_Csection","mother_education",0.287950621853953,0.0314612718809686,9.15254230481822,5.56091583615447e-20
"2017-2018","Stage1_Csection","partner_edu",0.25448396875491,0.0260859321434459,9.7556018836325,1.74562093931856e-22
"2017-2018","Stage1_Csection","media_exposure",0.0711971968755019,0.0293679925516851,2.42431268498183,0.0153373933226178
"2017-2018","Stage1_Csection","mother_working",-0.233444456468179,0.0425747233823531,-5.48317024568008,4.17770622724748e-08
"2017-2018","Stage1_Csection","pregnancy_terminated",0.238869361476927,0.0529406193800014,4.51202430712703,6.42118272716171e-06
"2022","Stage1_Csection","(Intercept)",-1.56303974860081,0.206756432562746,-7.55981194503567,4.03652519625548e-14
"2022","Stage1_Csection","IV_c_section_yes",1.32218473990926,0.0726272122721297,18.2050873019208,4.70303371914773e-74
"2022","Stage1_Csection","birth_single",-0.274539726474699,0.189471615857432,-1.44897548496803,0.147344428905306
"2022","Stage1_Csection","contraceptive_type",0.00489560102434548,0.0179454425839618,0.27280469687166,0.785003348887399
"2022","Stage1_Csection","mother_education",0.265496222239645,0.0313899150578215,8.45801021603884,2.71978296312595e-17
"2022","Stage1_Csection","partner_edu",0.221239898555385,0.0244896133368541,9.03402987675778,1.65463518207645e-19
"2022","Stage1_Csection","media_exposure",0.0202367256294569,0.0317664842261356,0.637046438170432,0.524094595566234
"2022","Stage1_Csection","mother_working",-0.0915455551923721,0.048316024970443,-1.89472447802514,0.0581289130724948
"2022","Stage1_Csection","pregnancy_terminated",0.089596540285017,0.0495547158938732,1.80803256902729,0.0706014317564407
"2004","2SRI_Stage1_Csection","(Intercept)",0.325233064878773,0.285246850686722,1.14018108910155,0.254210864371829
"2004","2SRI_Stage1_Csection","c_section_yes",-0.593125818453752,0.901539568831024,-0.657903256784198,0.510600297804597
"2004","2SRI_Stage1_Csection","birth_single",-1.3025447310825,0.267509801542749,-4.8691476856946,1.1208062057229e-06
"2004","2SRI_Stage1_Csection","contraceptive_type",-0.193045183588536,0.0380421480898368,-5.07450796765362,3.88499953980249e-07
