"Year","Variable","Univariate_Raw","Adjusted_Total","Direct_NoMediator","Change_Mediation_Pct"
"2004","birth_single",-1165998437093842,-1943103478905572,-1754435072725448,9.70964275594777
"2004","contraceptive_type",-181544719334833,-312178745662438,-338789888827045,-8.52432894114503
"2004","mother_education",-142553108214760,-167955830271677,-134269188331069,20.0568458303101
"2004","partner_edu",-106409374197902,-89616921126574.1,-104121368436322,-16.1849426731168
"2004","media_exposure",-130154723343942,-207227633360456,-223888747780518,-8.04000612750431
"2004","mother_working",195270421542369,399017935232123,305091974869724,23.5392828414489
"2004","pregnancy_terminated",49216387644023.7,72536904070199.8,151246295713515,-108.509444471384
"2011","birth_single",-781549514940086,-1746531931367701,-830891784414655,52.4261898971416
"2011","contraceptive_type",-96972806048119.2,-107862401796422,-734751362987852,-581.193215384369
"2011","mother_education",-19939866700870.2,-26080709030069.9,-103931127191032,-298.498089416222
"2011","partner_edu",632860364863.194,21584329588252,28081808343257.2,-30.102759172755
"2011","media_exposure",-11456857278880.3,-10568867514890,-34289062731439.5,-224.434597019324
"2011","mother_working",195577218562329,220357231158082,698331481578959,-216.908811164895
"2011","pregnancy_terminated",181403810225206,196472312536357,783276417286308,-298.670126683302
"2017-2018","birth_single",-587494222372450,-614930853751806,-629447339491815,-2.36066960235303
"2017-2018","contraceptive_type",-127891628676279,-128597785932200,-127538912346509,0.823399546123676
"2017-2018","mother_education",-25224365004134.2,-13404807456596.7,-3501995948435.21,73.8750745971228
"2017-2018","partner_edu",-22291619270143.8,-17918336583497.4,-9075174544015.1,49.3525835853912
"2017-2018","media_exposure",-33906313962842.8,-27065645894368.3,-23863496648791.3,11.8310468483712
"2017-2018","mother_working",-37019562274575.5,-25587447805185.5,-31795852038513.8,-24.2634759066127
"2017-2018","pregnancy_terminated",-18830101883748.5,-23688886179144.9,-16163742332576.3,31.7665583331375
"2022","birth_single",-346547229230646,-2065420235073532,-964840907666130,53.285975837659
"2022","contraceptive_type",-108260701748818,-691592304132293,-118907976522893,82.806636827447
"2022","mother_education",-24346129073615.9,129342907285946,26241085806295.1,79.7120024925044
"2022","partner_edu",-53763459984570.8,-368394087775338,-41840995407022.5,88.6423271177634
"2022","media_exposure",-33075426597811.1,-117093333512600,-7940308132647.74,93.21882135007
"2022","mother_working",36648824159681.7,442421498317839,37022367485897.3,91.6318787340438
"2022","pregnancy_terminated",61622923471872.6,363287899067857,81664510637061.1,77.5207181834022
