"Year","Variable","Univariate_Raw","Adjusted_Total","Direct_WithTreatment","Change_AfterTreatment_Pct"
"2004","institutional_delivery",203046352379327,718561009685089,516257373666178,28.1539957348328
"2004","baby_health_check_yes",184389893538139,339945987504241,337997177997366,0.573270336615184
"2004","skilled_birth_attendant",108685833451558,392728996057982,338726960984775,13.750457851407
"2011","institutional_delivery",82951666204325.5,84310341651902.1,88617941997185.5,-5.10921941589144
"2011","baby_health_check_yes",82133576074149.9,88781421539558.1,85096786951387.1,4.15023157353848
"2011","skilled_birth_attendant",57017071239068.8,58268044068110.8,36858259458533.5,36.7436129905973
"2017-2018","institutional_delivery",76986870778917.1,101885768801455,295511754892730,-190.0422290267
"2017-2018","baby_health_check_yes",-4331194331378470,-3066256716014848,-3556106406882071,-15.9754950819601
"2017-2018","skilled_birth_attendant",91513637762793.9,116812706815311,298522450154061,-155.556487211656
"2022","institutional_delivery",-66718639064167.3,-123041113273307,74625899336114.8,160.651189956605
"2022","baby_health_check_yes",-101538980698280,-102260016156714,-131591677533504,-28.6834116394418
"2022","skilled_birth_attendant",-73887131655633.9,-132025085039007,43130209109652.9,132.66819263696
