"Year","N","IV","Confounder","Coefficient","SE","P_value","Significant"
"2004",3478,"C-section IV","birth_single",-0.0332351524876463,0.0147439260322884,0.0242481954758319,TRUE
"2004",3478,"C-section IV","contraceptive_type",1.03771648461039,0.160951805382338,1.29497669689917e-10,TRUE
"2004",3478,"C-section IV","mother_education",1.64168671368082,0.142231649214987,2.85503610291497e-30,TRUE
"2004",3478,"C-section IV","partner_edu",1.83563680809248,0.156072730866309,2.40409125257017e-31,TRUE
"2004",3478,"C-section IV","media_exposure",1.38282868893904,0.12437270921225,3.03884371011316e-28,TRUE
"2004",3478,"C-section IV","mother_working",-0.121864990908099,0.0563472318337385,0.0306283714976745,TRUE
"2004",3478,"C-section IV","pregnancy_terminated",0.0441865965884675,0.0632411559753997,0.484786267916486,FALSE
"2004",3478,"ANC IV","birth_single",-0.00663648982617822,0.00764255882905853,0.385257416329116,FALSE
"2004",3478,"ANC IV","contraceptive_type",0.930490671190202,0.0823768263389927,4.40774224713003e-29,TRUE
"2004",3478,"ANC IV","mother_education",1.19473383486382,0.0722926473654589,4.03600187252951e-59,TRUE
"2004",3478,"ANC IV","partner_edu",1.28862826986772,0.0794934953302905,4.99316066711147e-57,TRUE
"2004",3478,"ANC IV","media_exposure",1.02191900927235,0.0632318967792877,1.04748381883189e-56,TRUE
"2004",3478,"ANC IV","mother_working",0.0250737140051545,0.0292061363332407,0.39067097659723,FALSE
"2004",3478,"ANC IV","pregnancy_terminated",0.0702983815024742,0.0327414608999243,0.0318562619024212,TRUE
"2011",4661,"C-section IV","birth_single",-0.00404032459248595,0.00711475333968516,0.570143964466831,FALSE
"2011",4661,"C-section IV","contraceptive_type",0.438507836776644,0.0731757367770469,2.22166376812949e-09,TRUE
"2011",4661,"C-section IV","mother_education",1.08131238978326,0.0604400039538507,2.76804950124705e-69,TRUE
"2011",4661,"C-section IV","partner_edu",1.19426587534761,0.0702943188418044,7.41517583182081e-63,TRUE
"2011",4661,"C-section IV","media_exposure",0.750405529821562,0.0494850754791606,9.74348124804863e-51,TRUE
"2011",4661,"C-section IV","mother_working",0.0968915125855082,0.019762499146654,9.76938490979135e-07,TRUE
"2011",4661,"C-section IV","pregnancy_terminated",0.0261224375619556,0.0269198203987955,0.331907815966294,FALSE
"2011",4661,"ANC IV","birth_single",0.00816612451234383,0.00571600585289446,0.153174268336601,FALSE
"2011",4661,"ANC IV","contraceptive_type",0.508545535650892,0.058554440494353,5.16383411643528e-18,TRUE
